clientId,status,manifestRequests,noticeRequests,noticeRetries,bytes,manifestDetectedMs,endToEndMs
1,ready,1,1,0,841,2466.7,3712.85
2,ready,1,1,0,841,2564.56,4824.34
3,ready,1,1,0,841,1524.12,3700.3
4,ready,1,1,0,841,1370.29,2724.76
5,ready,1,1,0,841,1550.36,2960.6
6,ready,1,2,1,841,1335.16,3325.18
7,ready,1,2,1,841,1795.74,4460.77
8,ready,1,1,0,841,2095.92,4367.81
9,ready,1,1,0,841,1892.89,3885.51
10,ready,1,1,0,841,1414.16,3155.56
11,ready,1,1,0,841,1613.17,3155.5
12,ready,1,2,1,841,2465.11,5288.79
13,ready,2,1,0,841,3155.33,4460.59
14,ready,1,1,0,841,1760.98,4051.34
15,ready,1,1,0,841,1969.75,4269.02
16,ready,2,2,1,841,3755.6,5835.49
17,ready,1,1,0,841,1366.12,3304.03
18,ready,1,1,0,841,2417.25,4809.02
19,ready,1,1,0,841,1662.8,3292.3
20,ready,1,1,0,841,1379.02,3530.38
21,ready,2,1,0,841,3930.32,6030.76
22,ready,1,1,0,841,1576.02,3170.54
23,ready,1,1,0,841,2237.03,4023
24,ready,1,2,1,841,1868.5,4011.54
25,ready,1,1,0,841,1769.32,3114.71
26,ready,2,1,0,841,3907.54,5033.65
27,ready,1,1,0,841,2248.01,4712.56
28,ready,2,1,0,841,4082.73,5947.25
29,ready,1,1,0,841,2216.69,4681.83
30,ready,1,1,0,841,1747.73,3480.3
31,ready,2,1,0,841,3374.03,5583.64
32,ready,1,1,0,841,1651.54,3407.19
33,ready,1,1,0,841,2603.81,4577.32
34,ready,1,1,0,841,1333.9,3170.72
35,ready,1,1,0,841,1457.03,3745.06
36,ready,1,1,0,841,2628.36,4514.47
37,ready,2,2,1,841,3923.14,5753.08
38,ready,1,1,0,841,2501.16,4602.4
39,ready,1,1,0,841,2203.91,3431.48
40,ready,1,1,0,841,2597.09,5040.82
41,ready,1,2,1,841,1335.23,4288.63
42,ready,1,3,2,841,1336.52,5165.5
43,ready,1,2,1,841,2564.48,4939.68
44,ready,1,1,0,841,2182.03,4020.52
45,ready,2,1,0,841,4597.39,6512.99
46,ready,1,1,0,841,2316.66,4654.43
47,ready,1,2,1,841,1738.64,4380.32
48,ready,1,1,0,841,1592.88,3911.27
49,ready,1,1,0,841,2265.4,3174.54
50,ready,1,1,0,841,2704.39,4071.29
51,ready,1,1,0,841,1738.74,4129.58
52,ready,1,1,0,841,2458.33,4141.96
53,ready,2,1,0,841,4537.3,6175.25
54,ready,1,1,0,841,2333.71,3733.69
55,ready,1,1,0,841,1823.72,3004.35
56,ready,1,1,0,841,1488.58,3652.13
57,ready,1,1,0,841,2572.91,4446.02
58,ready,1,1,0,841,1675.01,3746.44
59,ready,1,1,0,841,1975.67,3525.16
60,ready,1,1,0,841,1423.75,3903.97
61,ready,1,1,0,841,1715.18,2960.9
62,ready,1,1,0,841,1543.24,3353.32
63,ready,1,1,0,841,2366.02,3743.63
64,ready,1,1,0,841,2372.7,4420.05
65,ready,1,1,0,841,1981.17,3325.24
66,ready,1,1,0,841,2190.55,3851.56
67,ready,1,1,0,841,1468.35,3294.62
68,ready,1,1,0,841,1588.08,3035.86
69,ready,1,1,0,841,2487.98,3405.9
70,ready,1,2,1,841,2216.74,4322.5
71,ready,1,1,0,841,2707.84,4601.04
72,ready,1,1,0,841,2610.75,4476.18
73,ready,1,1,0,841,1644.7,3885.37
74,ready,1,1,0,841,2757.83,5063.34
75,ready,1,1,0,841,1811.04,4422.55
76,ready,1,1,0,841,1436.98,3926.75
77,ready,1,1,0,841,1819.76,3017.17
78,ready,1,1,0,841,1592.96,3266.63
79,ready,1,2,1,841,1341.3,3944.72
80,ready,1,1,0,841,2732.82,4310.15
81,ready,1,3,2,841,2466.51,5731.37
82,ready,2,1,0,841,3777.88,5271.1
83,ready,1,1,0,841,2372.48,3580.62
84,ready,1,1,0,841,2353.16,4911.32
85,ready,1,1,0,841,1503.25,3871.08
86,ready,2,1,0,841,3468.16,5207.01
87,ready,2,1,0,841,3693.58,4593.23
88,ready,1,1,0,841,1854.87,4257.13
89,ready,3,1,0,841,7239.96,9933.67
90,ready,1,1,0,841,2343.34,3797.62
91,ready,1,1,0,841,2452.4,3851.64
92,ready,1,1,0,841,2637.89,4102.19
93,ready,1,1,0,841,1490.22,3418.92
94,ready,1,1,0,841,1724.03,3027.33
95,ready,1,1,0,841,1370.55,2814.67
96,ready,2,1,0,841,3646.34,5290.23
97,ready,2,1,0,841,4949.59,6752.56
98,ready,1,1,0,841,1816.18,3091.11
99,ready,1,1,0,841,1587.98,3108.07
100,ready,1,1,0,841,1333.71,2863.45
