clientId,status,manifestRequests,noticeRequests,noticeRetries,bytes,manifestDetectedMs,endToEndMs
1,ready,1,1,0,841,2405.05,4694.08
2,ready,1,1,0,841,1539.32,3026.76
3,ready,1,1,0,841,2078.84,3645.37
4,ready,1,1,0,841,1790.38,3983.95
5,ready,1,1,0,841,1873.65,3148.06
6,ready,1,1,0,841,2130.42,4356.78
7,ready,1,1,0,841,1920.04,4097.34
8,ready,1,1,0,841,2392.38,4685.27
9,ready,1,1,0,841,2446.32,4037.69
10,ready,1,1,0,841,2185.82,4642.59
11,ready,1,1,0,841,2221.81,4296.86
12,ready,1,1,0,841,1956.39,3838.3
13,ready,2,1,0,841,4216.1,6069.58
14,ready,1,1,0,841,2075.32,3256.08
15,ready,1,1,0,841,2176.99,4641.37
16,ready,1,2,1,841,1987.01,4277.44
17,ready,1,1,0,841,2170.53,4442.78
18,ready,1,1,0,841,2444.63,3611.91
19,ready,1,1,0,841,1713.97,3278.53
20,ready,2,1,0,841,4328.61,5766.94
21,ready,2,1,0,841,4277.33,6012.11
22,ready,1,1,0,636,966.86,2094.99
23,ready,2,1,0,841,3329.93,4971.77
24,ready,1,1,0,841,2516.01,4524.77
25,ready,1,1,0,841,2555.05,3656.88
26,ready,1,1,0,841,2515.91,3983.73
27,ready,1,1,0,841,2229.29,4010.74
28,ready,1,1,0,841,1907.22,4533.9
29,ready,1,1,0,841,2230.53,4097.17
30,ready,1,1,0,841,1748.18,4005.79
31,ready,1,1,0,841,1588.24,3434.8
32,ready,1,1,0,841,1957.83,4143.33
33,ready,1,1,0,841,1612.1,4177.52
34,ready,1,1,0,841,1588.15,2616.34
35,ready,2,1,0,841,4455.24,6423
36,ready,1,1,0,841,1839.91,4399.21
37,ready,1,1,0,841,1691.31,3903.04
38,ready,1,2,1,841,2174.41,5158.74
39,ready,1,1,0,841,1957.77,3681.81
40,ready,1,1,0,841,1610.65,2872.35
41,ready,2,1,0,841,3884.57,5458.61
42,ready,1,1,0,841,2564.58,4080.03
43,ready,2,1,0,841,4914.38,6475.78
44,ready,1,1,0,841,1897.43,3931.28
45,ready,1,2,1,841,1762.57,4116.36
46,ready,2,1,0,841,4178.87,5654.3
47,ready,1,1,0,841,2410.95,3833.55
48,ready,1,2,1,841,1660.73,3675.83
49,ready,1,1,0,841,1946.05,4177.28
50,ready,1,1,0,841,2212.85,3793.54
51,ready,1,1,0,841,2130.52,4528.52
52,ready,1,1,0,841,1589.45,4110.46
53,ready,1,1,0,841,2271.41,3915.35
54,ready,1,1,0,841,2515.72,4827.14
55,ready,1,1,0,841,1611.91,3375.75
56,ready,1,1,0,841,2408.75,4624.43
57,ready,3,1,0,841,6813.76,8574.28
58,ready,1,2,1,841,2112.26,5373.94
59,ready,1,1,0,841,2307.58,3705.47
60,ready,1,1,0,841,1990.58,4512.56
61,ready,1,1,0,841,1987.09,4182.6
62,ready,1,1,0,841,1936.28,4257.56
63,ready,1,1,0,841,2105.13,3246.61
64,ready,2,3,2,841,4620.08,7730.73
65,ready,2,1,0,841,3418.52,5286.96
66,ready,1,3,2,841,2299.39,6226.8
67,ready,1,1,0,841,2075.35,4596.36
68,ready,1,1,0,841,1474.62,4010.49
69,ready,1,1,0,841,2109.82,4779.66
70,ready,1,1,0,841,1657.69,3521.17
71,ready,1,1,0,841,2147.68,4056.11
72,ready,3,1,0,841,5768.26,7206.72
73,ready,1,1,0,841,2025.46,3930.47
74,ready,1,2,1,841,2408.67,4277.51
75,ready,1,1,0,841,2392.09,4758.32
76,ready,1,1,0,841,2398.38,4228.3
77,ready,2,1,0,841,4399.14,6387.58
78,ready,1,2,1,841,2030.18,5011.08
79,ready,2,1,0,841,3661.72,5837.46
80,ready,1,1,0,841,1903.15,3654.54
81,ready,1,1,0,841,2016.23,4107.16
82,ready,1,1,0,841,1790.29,4247.31
83,ready,1,1,0,841,1929.41,3675.88
84,ready,1,1,0,841,2510.8,3842.72
85,ready,1,1,0,841,2042.82,3557.88
86,ready,1,1,0,841,2229.2,4613.79
87,ready,1,1,0,841,2078.88,3515.68
88,ready,1,1,0,841,2080.06,3241.57
89,ready,1,1,0,841,2630.74,4313.93
90,ready,1,1,0,841,1858.63,3834.83
91,ready,1,1,0,841,2441.54,4931.65
92,ready,1,1,0,841,1489.9,2686.54
93,ready,1,1,0,841,2577.81,4176.52
94,ready,1,1,0,841,1828.34,4157.9
95,ready,1,1,0,841,2072.98,3477.43
96,ready,1,1,0,841,1935.07,3311.85
97,ready,1,2,1,841,2292.99,3951.21
98,ready,2,1,0,841,4885.08,6442.47
99,ready,1,1,0,841,1817.11,4372.26
100,ready,1,1,0,841,2544.51,4689.92
